order_id,account_id,amount,payment_method,order_date,status
ORD_0e0368ff51,ACC_L0016,5429.29,upi,2026-08-02T15:13:00,returned
ORD_0641b2a490,ACC_L0185,1898.22,upi,2026-07-16T12:32:00,delivered
ORD_7f2f9591e4,ACC_L0167,2663.41,upi,2026-06-09T17:25:00,delivered
ORD_43d006dfe4,ACC_N4_2,3856.92,upi,2026-08-01T03:16:00,delivered
ORD_8b0130a57f,ACC_L0189,1587.84,netbanking,2026-06-20T01:39:00,delivered
ORD_71425929c5,ACC_L0239,4476.03,upi,2026-07-28T03:39:00,returned
ORD_c5610ba50d,ACC_L0232,4343.21,card,2026-06-28T14:52:00,delivered
ORD_624cf2fa3a,ACC_L0008,5729.82,netbanking,2026-07-08T13:10:00,delivered
ORD_09a2e976cf,ACC_L0166,4678.69,card,2026-08-02T10:37:00,delivered
ORD_e02d375d34,ACC_RING_B1_5,848.57,netbanking,2026-08-27T09:04:00,returned
ORD_54ba2719b2,ACC_L0029,859.95,upi,2026-06-07T17:15:00,returned
ORD_1073d99e63,ACC_L0191,1431.27,netbanking,2026-07-05T05:01:00,delivered
ORD_c170b698a4,ACC_L0191,1709.18,card,2026-06-21T03:15:00,delivered
ORD_9bea4ca91c,ACC_L0044,2225.73,netbanking,2026-08-03T10:11:00,delivered
ORD_4c1a6f1c0f,ACC_L0041,4019.9,card,2026-08-12T01:22:00,delivered
ORD_bb1d4f10de,ACC_N2_2,4277.14,upi,2026-07-03T09:36:00,delivered
ORD_1907d7f92b,ACC_L0205,5646.95,card,2026-08-12T18:37:00,delivered
ORD_cfe6342277,ACC_L0108,3803.2,netbanking,2026-08-15T18:09:00,delivered
ORD_9b0203769a,ACC_RING_A2_1,1166.29,netbanking,2026-06-21T04:35:00,delivered
ORD_bc0149982b,ACC_L0102,3924.2,netbanking,2026-06-05T04:04:00,delivered
ORD_9f2ce6a80e,ACC_L0025,5889.73,netbanking,2026-07-15T20:32:00,delivered
ORD_ba2addba40,ACC_L0153,3448.53,upi,2026-07-06T12:23:00,delivered
ORD_fb8ef802ef,ACC_L0025,5806.3,netbanking,2026-07-22T10:17:00,returned
ORD_13c32040f7,ACC_L0077,2676.48,netbanking,2026-06-09T02:53:00,delivered
ORD_a6809ad773,ACC_L0161,206.06,upi,2026-08-19T01:55:00,delivered
ORD_5eccfea05f,ACC_L0184,5040.16,netbanking,2026-08-30T22:38:00,delivered
ORD_4ed645221c,ACC_L0092,5908.97,wallet,2026-06-25T11:43:00,returned
ORD_a94a3673be,ACC_L0028,2664.85,netbanking,2026-08-10T00:19:00,delivered
ORD_cb2774da00,ACC_L0168,2731.52,card,2026-06-03T03:59:00,returned
ORD_8c6093346e,ACC_L0196,5819.25,wallet,2026-06-07T12:28:00,delivered
ORD_18fbdd8673,ACC_L0165,926.24,upi,2026-07-06T20:08:00,delivered
ORD_670f477b5f,ACC_N3_0,682.87,upi,2026-06-21T12:40:00,delivered
ORD_095e0f4b00,ACC_RING_A1_1,1390.39,upi,2026-08-04T01:13:00,delivered
ORD_a4e09da79e,ACC_N4_0,5502.8,netbanking,2026-08-10T09:46:00,delivered
ORD_dd4716ef3d,ACC_RING_A1_2,1336.61,card,2026-08-02T03:23:00,returned
ORD_a263d4ce17,ACC_L0009,5585.23,netbanking,2026-08-16T10:31:00,delivered
ORD_11e8082d52,ACC_L0241,1695.8,upi,2026-07-19T01:27:00,delivered
ORD_3001046610,ACC_L0075,4316.09,wallet,2026-07-06T19:40:00,delivered
ORD_54be98e7d4,ACC_L0226,5382.99,netbanking,2026-08-24T20:10:00,delivered
ORD_1cb7762fec,ACC_L0015,5995.8,card,2026-07-27T17:06:00,delivered
ORD_f6c581d54b,ACC_N5_1,4146.18,upi,2026-08-13T08:11:00,returned
ORD_73c584f3ff,ACC_L0229,1559.22,netbanking,2026-06-22T02:48:00,delivered
ORD_c0a9721159,ACC_L0207,2734.04,wallet,2026-07-24T19:41:00,delivered
ORD_3e0b15ef5d,ACC_L0103,529.89,netbanking,2026-08-27T10:42:00,delivered
ORD_c7a13e4f58,ACC_L0123,2913.56,upi,2026-06-07T03:26:00,delivered
ORD_fca4444956,ACC_L0230,4781.93,netbanking,2026-08-11T17:00:00,delivered
ORD_db7b4c907a,ACC_L0171,4376.23,upi,2026-08-18T20:10:00,delivered
ORD_cdb9df4f7d,ACC_L0177,4366.48,upi,2026-07-15T16:33:00,delivered
ORD_debbcf47eb,ACC_L0089,626.79,upi,2026-08-24T19:55:00,delivered
ORD_caf5de441a,ACC_L0217,3855.9,wallet,2026-08-02T02:08:00,delivered
ORD_d3f5ec0c4a,ACC_L0228,2172.63,wallet,2026-07-26T21:46:00,delivered
ORD_a1d023ded2,ACC_L0052,5040.36,card,2026-06-04T02:14:00,returned
ORD_bd11ff8633,ACC_L0208,5520.48,upi,2026-06-08T07:02:00,delivered
ORD_9295e1e03e,ACC_L0002,404.19,wallet,2026-07-16T11:38:00,delivered
ORD_9ae76e0112,ACC_RING_C2_1,1869.58,card,2026-07-22T06:14:00,delivered
ORD_b35f66d815,ACC_L0070,5418.11,card,2026-06-30T10:49:00,delivered
ORD_3af214c93a,ACC_L0114,2670.93,netbanking,2026-07-07T17:00:00,delivered
ORD_2951990dfa,ACC_L0016,492.13,card,2026-06-20T06:18:00,delivered
ORD_f13323ca20,ACC_L0151,2982.75,card,2026-06-22T13:17:00,delivered
ORD_1f68fb343c,ACC_L0142,3019.98,upi,2026-07-03T15:46:00,delivered
ORD_9fe8f56fa6,ACC_L0136,2025.89,netbanking,2026-08-13T19:49:00,delivered
ORD_f81b2c6ec4,ACC_L0245,1129.26,card,2026-07-12T16:05:00,returned
ORD_e5e10e2920,ACC_L0017,1525.94,card,2026-06-09T19:04:00,delivered
